Gateway,Role,Guided Project,
PWC Tax Executive,Accountant,Excel for Beginners: Introduction to Spreadsheets,
PWC Tax Executive,Accountant,Introduction to Cost Accounting,
PWC Tax Executive,Accountant,Getting Started with ProfitBooks,
PWC Tax Executive,Accountant,Income Features in ProfitBooks,
PWC Tax Executive,Accountant,Expenses in ProfitBooks,
PWC Tax Executive,Accountant,Profit Analysis using Economic Value Added,
PWC Tax Executive,Accountant,Using Basic Formulas and Functions in Microsoft Excel,
PWC Tax Executive,Accountant,"Finding, Sorting, & Filtering Data in Microsoft Excel",
PWC Tax Executive,Accountant,Creating a Budget with Microsoft Excel,
PWC Tax Executive,Accountant,Financial Accounting Explained,
IBM Full Stack Software Developer,Application Developer,Linux: File Management for Devops,
IBM Full Stack Software Developer,Application Developer,Introduction to Docker: Build Your Own Portfolio Site,
IBM Full Stack Software Developer,Application Developer,Kubernetes: Create Multi-App Cluster with Ingress & Logging,
IBM Full Stack Software Developer,Application Developer,Introduction to HTML,
IBM Full Stack Software Developer,Application Developer,HTML and CSS: Building a Single-Page Website,
IBM Full Stack Software Developer,Application Developer,Introduction to JavaScript,
Meta Back-End Developer,Back-End Developer,"Storing, Retrieving, and Processing JSON data with Python",
Meta Back-End Developer,Back-End Developer,Command Line Basics in Linux,
Meta Back-End Developer,Back-End Developer,Manage Your Versions with Git (Part I),
Meta Back-End Developer,Back-End Developer,Manage Your Versions with Git (Part II),
Meta Back-End Developer,Back-End Developer,API Testing Using Rest Assured Test Automation Tool,
Meta Back-End Developer,Back-End Developer,Create Your First Python Program From UST,
Meta Back-End Developer,Back-End Developer,Create a Python Application using PyMongo and MongoDB Database,
Meta Back-End Developer,Back-End Developer,Use Bash Scripting on Linux to Execute Common commands,
Meta Back-End Developer,Back-End Developer,Create a Database with the Modeling Tool in MySQL Workbench,
Meta Back-End Developer,Back-End Developer,Using MySQL Database with PHP,
Intuit Bookkeeping,Bookkeeper,Introduction to Cost Accounting,
Intuit Bookkeeping,Bookkeeper,Getting Started with ProfitBooks,
Intuit Bookkeeping,Bookkeeper,Income Features in ProfitBooks,
Intuit Bookkeeping,Bookkeeper,Expenses in ProfitBooks,
Intuit Bookkeeping,Bookkeeper,Profit Analysis using Economic Value Added,
Intuit Bookkeeping,Bookkeeper,Using Basic Formulas and Functions in Microsoft Excel,
Intuit Bookkeeping,Bookkeeper,"Finding, Sorting, & Filtering Data in Microsoft Excel",
Intuit Bookkeeping,Bookkeeper,Creating a Budget with Microsoft Excel,
Intuit Bookkeeping,Bookkeeper,Financial Accounting Explained,
Tally Bookkeeping Associate,Bookkeeper,Introduction to Cost Accounting,
Tally Bookkeeping Associate,Bookkeeper,Getting Started with ProfitBooks,
Tally Bookkeeping Associate,Bookkeeper,Income Features in ProfitBooks,
Tally Bookkeeping Associate,Bookkeeper,Expenses in ProfitBooks,
Tally Bookkeeping Associate,Bookkeeper,Profit Analysis using Economic Value Added,
Tally Bookkeeping Associate,Bookkeeper,Using Basic Formulas and Functions in Microsoft Excel,
Tally Bookkeeping Associate,Bookkeeper,"Finding, Sorting, & Filtering Data in Microsoft Excel",
Tally Bookkeeping Associate,Bookkeeper,Creating a Budget with Microsoft Excel,
Tally Bookkeeping Associate,Bookkeeper,Financial Accounting Explained,
Microsoft Power BI Data Analyst,Business Intelligence Analyst,Power BI for Beginners Introduction to DAX Language,
Microsoft Power BI Data Analyst,Business Intelligence Analyst,Using DAX throughout PowerBI to create robust data scenarios,
Microsoft Power BI Data Analyst,Business Intelligence Analyst,Getting Started with Power BI Desktop,
Microsoft Power BI Data Analyst,Business Intelligence Analyst,"Prepare, Clean, Transform, and Load Data using Power BI",
Microsoft Power BI Data Analyst,Business Intelligence Analyst,Data Visualization in Power BI: Create Your First Dashboard,
Microsoft Power BI Data Analyst,Business Intelligence Analyst,PowerBI Report Development Crash Course,
Microsoft Power BI Data Analyst,Business Intelligence Analyst,Data Visualization with Power BI: Storytelling with Data,
Microsoft Power BI Data Analyst,Business Intelligence Analyst,HR Analytics- Build an HR dashboard using Power BI,
Microsoft Power BI Data Analyst,Business Intelligence Analyst,Build an Income Statement Dashboard in Power BI,
Tableau Business Intelligence Analyst,Business Intelligence Analyst,Data Visualization in Tableau: Create Dashboards and Stories,
Tableau Business Intelligence Analyst,Business Intelligence Analyst,Creating an Interactive Graph with Tableau Public,
Tableau Business Intelligence Analyst,Business Intelligence Analyst,Analyze Survey Data with Tableau,
Tableau Business Intelligence Analyst,Business Intelligence Analyst,How to Visualize Research Data in Tableau,
